id_bolide,date_heure,Latitude ,Longitude,Vitesse (km/s),Énergie totale rayonnée (J) ,
276,2009-04-20 04:01:39,6.0N,84.3E,,2.2e10,6.0N 84.3E
277,2009-04-10 18:42:45,44.7S,25.7E,19.1,27.0e10,44.7S 25.7E
278,2009-03-04 00:38:05,,,,17.0e10, 
279,2009-02-20 12:15:57,64.9S,70.0W,,5.0e10,64.9S 70.0W
280,2009-02-07 19:51:32,56.6N,69.8E,15.4,160.0e10,56.6N 69.8E
281,2009-01-12 22:24:56,47.8N,44.3W,,4.8e10,47.8N 44.3W
282,2009-01-10 07:42:39,64.0S,122.8E,,2.3e10,64.0S 122.8E
283,2008-12-24 15:51:58,68.9S,102.0W,24.1,3.5e10,68.9S 102.0W
284,2008-12-12 11:36:36,7.0S,9.7W,,21.6e10,7.0S 9.7W
285,2008-12-09 06:08:16,,,,3.4e10, 
286,2008-11-24 22:01:19,57.9S,146.1E,23.7,14.6e10,57.9S 146.1E
287,2008-11-21 00:26:44,53.1N,109.9W,12.9,14.2e10,53.1N 109.9W
288,2008-11-18 09:41:51,29.4S,75.9E,22.4,2.5e10,29.4S 75.9E
289,2008-11-09 02:38:34,14.5N,112.7E,,22.2e10,14.5N 112.7E
290,2008-10-21 02:20:25,32.8N,165.6W,11.3,4.6e10,32.8N 165.6W
291,2008-10-10 09:34:18,57.3S,17.0E,,18.0e10,57.3S 17.0E
292,2008-10-07 02:45:45,20.9N,31.4E,13.3,39.5e10,20.9N 31.4E
293,2008-09-09 09:49:41,,,,5.9e10, 
294,2008-08-16 14:40:24,11.3N,97.2E,,13.1e10,11.3N 97.2E
295,2008-08-12 11:44:10,11.6S,175.0W,,2.0e10,11.6S 175.0W
296,2008-08-07 06:07:10,18.5N,180.0E,13.8,4.1e10,18.5N 180.0E
297,2008-07-23 14:45:25,38.6N,68.0E,14.5,12.1e10,38.6N 68.0E
298,2008-07-22 19:34:00,17.8S,89.2W,,6.1e10,17.8S 89.2W
299,2008-07-11 14:35:28,,,,5.2e10, 
300,2008-07-08 15:55:30,72.8N,147.3E,21.7,6.6e10,72.8N 147.3E
301,2008-07-01 17:40:19,37.1N,115.7W,9.8,3.6e10,37.1N 115.7W
302,2008-06-27 02:01:23,26.9S,17.7W,23.1,17.2e10,26.9S 17.7W
303,2008-06-18 13:45:36,6.1N,103.1E,,2.1e10,6.1N 103.1E
304,2008-05-29 21:23:56,15.7N,83.5W,,2.1e10,15.7N 83.5W
305,2008-05-24 10:18:10,0.8N,162.0E,14.2,15.0e10,0.8N 162.0E
306,2008-05-22 20:50:28,46.9N,134.5E,,2.1e10,46.9N 134.5E
307,2008-05-06 01:08:56,,,,5.7e10, 
308,2008-04-30 01:18:38,33.6S,35.1W,,2.0e10,33.6S 35.1W
309,2008-04-06 16:03:34,,,,7.7e10, 
310,2008-03-15 11:29:55,28.0N,41.5W,12.9,5.0e10,28.0N 41.5W
311,2008-02-24 19:33:14,,,,7.4e10, 
312,2008-02-19 13:30:30,48.9N,119.8W,,2.0e10,48.9N 119.8W
313,2008-02-18 08:51:12,,,,5.0e10, 
314,2008-02-17 12:19:16,74.9N,73.4W,13.9,11.0e10,74.9N 73.4W
315,2008-02-16 08:38:39,,,,7.1e10, 
316,2008-01-18 01:17:39,,,,4.4e10, 
317,2008-01-09 03:53:15,66.8S,67.3W,11.6,4.1e10,66.8S 67.3W
318,2007-12-26 06:46:20,61.6S,158.9W,,13.6e10,61.6S 158.9W
319,2007-12-20 17:00:48,51.3N,115.4E,,12.2e10,51.3N 115.4E
320,2007-10-25 19:35:38,40.9S,91.3E,,5.8e10,40.9S 91.3E
321,2007-10-12 09:14:03,88.5N,116.6E,18.4,3.3e10,88.5N 116.6E
322,2007-10-07 13:31:01,35.2S,125.6E,,5.8e10,35.2S 125.6E
323,2007-09-22 17:57:12,49.2S,85.5W,16.9,23.7e10,49.2S 85.5W
324,2007-06-11 09:47:05,23.4S,170.9W,17.0,4.9e10,23.4S 170.9W
325,2007-06-08 13:32:00,52.0S,175.3E,,23.5e10,52.0S 175.3E
326,2007-06-07 21:28:12,21.9N,53.1E,,3.1e10,21.9N 53.1E
327,2007-05-16 16:20:58,4.5S,111.7E,,3.8e10,4.5S 111.7E
328,2007-05-16 04:45:52,42.4S,164.0E,,40.0e10,42.4S 164.0E
